client_id,path,sentence_id,sentence,age,gender,accents,locale,ai_transcript,wer,cer
031903093b6fa1aeb0a243843eb9ed57baf6e99d1f8f9217aa554c3550868611a39ef44a7a3ae1f8bba0960d7133ce30fff132efc9d8d1c79062405b6999f9c3,common_voice_en_41383256.mp3,f19a785911b1a3b1338e3eb5cc785e58b8381d21ec7c337d9070ef26dafa10d6,The outer rim has undergone some erosion due to subsequent impacts.,,Unknown,Unknown,en, The out of rim has undergone some erosion due to subsequent impacts.,0.18181818181818182,0.04477611940298507
058fe5b1170aa09ef3f1092b179384639bc46ac53c16753f3305b3242579ec99a0edf459e177cc415fd00be4f34f08a99cf670b90077a0622f5c4a71423f7eea,common_voice_en_41823983.mp3,f50360e1be367d8155b3c8340f0b3d38d1e6701df79dc569ac62d9a2af98a4b7,"For purposes of this definition, the intent may be conditional.",55.0,Female,US English,en," For the purposes of this definition, the intent may be conditional.",0.1,0.06349206349206349
08190396a5c298331813531d1a832b56d8ffe44aaedcb74d1e99a06de8d2c136224a6c64eb69e59d89c8d2d32c7c0b33508a6eca88ffadfea7238a3caffbd925,common_voice_en_41881685.mp3,f4f3a5714cc36a9abbabf78a33feb4a9c368005f1f4bf555bd2047c39d089062,"Bennett was educated at Lawnswood High School, Leeds, and Hertford College, Oxford.",45.0,Female,US English (Southern),en," Bennett was educated at Lonswood High School, Leeds and Hertford College, Oxford.",0.16666666666666666,0.03614457831325301
14698ee63cabe08b43f0faa93304202d1e6ffeaa2cdf8659d41413ab04292bfe1c0e122d55215c3b6279bf4e851f71c490c562b65733ca3084e7292a05d74d4e,common_voice_en_41799514.mp3,f4d04f6e48777c3ad180c629858a19fdfa4cb875d2bb2220a9846e4a09f7d63f,These rules became known as Admiral-Lord Mountevans rules.,25.0,Unknown,Japanese English,en, These 늙s became quas maelodmount Tabin's pad,0.75,0.5344827586206896
28d8f8a88afad9eb9e5b36ee84bd4c5ba84137310da15f1e4517a068158f65b486e1f07a83241b45e1c571f94a8603750b9cff4e58968b6b10e636739a977561,common_voice_en_41552032.mp3,f262ed293fa5fe0986d1e7a80b5bbae11205f8089a18571ca7d31ee698d7cee3,The grouping traditionally called apes is bracketed from the right.,,Unknown,Canadian English (Eastern European influence),en, The grouping traditionally called apes is bracketed from the right.,0.0,0.0
29f0a09db1abdd5ad550cc754834822748ab17043e7b51953132a885d24bb63a49b770e6e7c92d6a42c1f8339bea99cb5b796f877b339b73bf3ac54e26f57c02,common_voice_en_41827319.mp3,f506be20f56b00999c323469c384114e27bb5fa0372d0e4ab1da62fc49534e56,"The track ""Coca Leaf"" is made up of vocal samples of singing women.",,Unknown,Unknown,en," The track, Coca Leaf, is made up of vocal samples of singing women.",0.23076923076923078,0.04477611940298507
302b51de89ba0e815cce38bba05ee858e556375d19c74554175b32c2f93dc57bc44d0a3c15bf844eea5cd752b97c28fee9b2310029276363f9eabc67eb0c9cca,common_voice_en_41526838.mp3,f21bd922ee542930c8c3914edad64557f31004a22a80a1d7c65c8c37eb73625d,He also taught at the same university.,65.0,Female,United States English,en, He also taught at the same university.,0.0,0.0
31a787d9d9c7203d20fbd2b9590c92dda91ef69e2b36f749d589a33bebef59931f3c02d0e1124ff66276f744c33999a5c30fb4b7e9b991c3dacb02af2b26b088,common_voice_en_41435787.mp3,f1b86bcf63efc1b0117b5587f8803741a5a6917ab4442119851bfc0b50576fa0,"Most ""Naruto"" video games have been released only in Japan.",,Unknown,Unknown,en, Most Naruto video games have been released only in Japan.,0.1,0.03389830508474576
40ef8f7ec5e58f2ba7b9c934cf57ae928bae5b13662b8fa5c1fa6eebc2718a028a0eb34ca4663e039f2136baec5ad995c541fc2deb0a5d280b2989a07019ae05,common_voice_en_41633128.mp3,f2d2020fe97305b41d4c626ee2963f0984e255e5599105d8ceed805142d0b57d,Bold denotes players currently active in international football.,35.0,Female,United States English,en, Bold denotes players currently active in international football.,0.0,0.0
4af8321a13399a2662bef236a736ad5329cb2edfe01eee6139e16dae251187927114c436300c09c6cca0fcf7bab73246ad76f59d6d3ff9c0fd55b31f98b42fad,common_voice_en_41586424.mp3,f2872bf6e9d312de78bdcc664bc348936d9039966c410411887feede4b61291e,"At South Side, Greer was an all state selection in both football and track.",55.0,Female,United States English,en," At Southside, Greer was an all-state selection in both football and track.",0.2857142857142857,0.04
515c2e9437d5ad6f008df7a30cb7ee80a7d0c6dbd9773c470b92040002cdd3e38108a54ff12427b89fb047d76646cd1444feebf03b0be610413c6e371674c583,common_voice_en_41489529.mp3,f207e89ddc1accd8501a97aa74b2a84d5335e0bb12ccfca9df00a44a259bc04f,Riley and Buffy pursue in his car.,,Unknown,Unknown,en, Riley and Buffy pursue in his car.,0.0,0.0
67014914955d4494556e3cec055c61a514f9186710a33a23259f29be421e3a295491763a6b5228882c1402cef313336de72bac5457e30160527a96b5ed2ac57a,common_voice_en_41469700.mp3,f1e3f86158965c0d1f78f1d7ba3126786e71c13f4afec7a41148d5d075c5d67b,The combined company was later renamed Kimball International.,25.0,Unknown,UK English (Southern),en, The combined company was later renamed Kimball International.,0.0,0.0
68caafdf147c42aa78002abb9c2ac5b61f36b8c8ec4773aea7f74ef7e703458d18f483b9a6d8ece6fa16789d838b6b9affc9a0ae2b79cbf83d3cd50fc2ee58d2,common_voice_en_41517336.mp3,f21b6169e031dd733e2c776299331fefc5f1f60e41078ed16a7487b159746318,It also features puzzles and platforming elements.,25.0,Male,UK English,en, It also features puzzles and platforming elements.,0.0,0.0
6da9756d4204bb74066058635049a0c9c47c9853e59c846db9bf86b0d142a2694facb06d3c586c20333481a27bcb58c79c9e204ccff56e735280de17ca670474,common_voice_en_41423014.mp3,f1b417e7fd73c9c4a568bac48cf87baf7fdc2391b5341b56611f0264dbd39e40,It has three platforms.,35.0,Male,South Asian English (Indian influence),en, It has three platforms.,0.0,0.0
734c1509d42f00dd14488487f61b28e0a4f984d2fa8b009bf418c2caa77c565f16c29a43ff650ba6799485be42d0a33d9c890389d0ed7872b9ca0d7df6bcc9b1,common_voice_en_41518962.mp3,f218a86f58aee8fd1587ddf63c4b564362f91623d636e2b3912a291642c2407e,"After graduation, she became the administrator of Western's French Immersion School.",,Unknown,Unknown,en," After graduation, she became the administrator of Western's French immersion school.",0.18181818181818182,0.023809523809523808
7408f3fa5ec1af37c7cf14447f2a5db945abc62d8852f64bf30b5183d5d51146280238941ef2f0eaf9216fd7ed10aa46155e8dae9e56449832dbcb602ede2ac9,common_voice_en_41592181.mp3,f298fa37af6b4b6a93a54f1bf76ca2987bb02b93b10cd629d70f5eca3acf10dd,It airs in North America via Dish Network.,25.0,Unknown,Unknown,en, It airs in North America via Dish Network.,0.0,0.0
82a6c14471060075e137afa9eb02801489110159abb91cf52d8e95a364e65dcb9d582c4d1162b61483cdf03a05462a83ef657a240f0667aee40a0b65dfa9b0c5,common_voice_en_41532689.mp3,f22e8a3fee85ed8a086563833992d850c765cbf09998f55f7ba561fb81e3ceb7,"Instead of signing artists, he makes one-time deals to release their songs as singles.",75.0,Unknown,US English (Italian influence),en," Instead of signing artists, he makes one-time deals to release their songs as singles.",0.0,0.0
8f60eb853e080cfdfcba96ff286581d15d90a5cf6689f57bbb582696a5697f359d7d601a32a1069bdce4fe46f6d2a5fda158420695a8d8f11779ebf23d4b5e86,common_voice_en_41503591.mp3,f20f6f7d4ec96ed5939d9c6d40cb80edaf55b9eefb656e754f77e2df3992204d,After this the town was rebuilt and simply referred to as 'Wells'.,,Unknown,US English (Midwestern),en," After this, the town was rebuilt and simply referred to as Wells.",0.16666666666666666,0.045454545454545456
91b2d037e0ffc1d19057115defea1096ea8f2dce3242a110b4f8bcd0d902efff0a8452fc1e466e0663fe2159d7966a6ae1a86e9da4e61b38725f9e9bd4bb7da8,common_voice_en_41816931.mp3,f4f6e1f4361feb9fe266e02387a5b0a6085c4b284bf148d27ee26d9f7927a3eb,That was enough for a conflict.,25.0,Female,United States English,en, That was enough for a conflict.,0.0,0.0
95eb234ccf3ef5e1cbb96468a6030aee658bcec21bf42d364463e769fcb42112f773b6fc6b1211c62e5f425125899d0b15f43fc6695381c07e0b39e4fb79015c,common_voice_en_41267069.mp3,f1438034e595d6dc628daf0a2c2612c4f499639d7c504824c68b39f4a7427634,"In Korea, carnations express admiration, love and gratitude.",,Unknown,African English,en," In Korea, the carnations express admiration, love and gratitude.",0.125,0.06666666666666667
9bc726e71173f54d3e16550b050e0cdf7a6a270050f32fd9a1133f8294b83385930743acc00246eb46fbd41cda2358d16bb6ceb1333ee45895893a44ccbd17e8,common_voice_en_41659267.mp3,f31c044c692e88562624eb3f76b908b5ac95008d147faada29ea40ff6c71d602,Naval Academy in Annapolis.,25.0,Female,UK English,en, Naval Academy in Annapolis.,0.0,0.0
9c27ccc496018c7530e98afeea342b7ae058687d291e48be42943e431ad1fbec5e74cf6ac6d5b003c21918e65d9789fde3c87bdb5e02f6cf6e247390e69c5b5a,common_voice_en_41629760.mp3,f2cee03c22817494a168cea0206d9bf520252a68c2966163da0a191a38a5e41d,"It also likes flower nectar, fruit and some seeds.",25.0,Unknown,South Asian English,en," It also likes flower, nectar, fruit and some seeds.",0.1111111111111111,0.02
a97730f86fa90560ae105669364412a9ad393b32839d0151236604af188212aab60bf5168a7975fdd0a448dd3131543f5c0032e737a7164b41e9d9d85ffd6660,common_voice_en_41674821.mp3,f34fd236b64b5770d6fe34ba703e1af2ff201ef2103a838f07b94f5b63cd2983,"After graduation he served with the royal Prussian geological institute, making photographic surveys.",65.0,Male,Southeast Asian English,en," After graduation he served with the Royal Prussian Geological Institute, making photographic surveys.",0.23076923076923078,0.0297029702970297
a9b228677824e2108c5976190079c922caca2e41ee76ab6dc07e33f8aac716a45871ecbfb2bedd7258e4a8eea65641d392cdd70aff5877da62ba0770517691e8,common_voice_en_41577054.mp3,f2762ca80998a288eca8beb2bbb3c7cf144b2ddfeebaf77722271f20577d2b7f,He worked as a builder and was later employed at Heathrow Airport.,45.0,Unknown,European English (French influence),en, He worked as a builder and was later employed at Heathrow Airport.,0.0,0.0
b1f965d3f8b077c18c2bc57fe1a0c94f2b1fb4409ed9a4ce72b4d4af398dca33337bf19d5d71b3dc0c552d2831094bab9eb5b54f67b080124dad99f6990bd934,common_voice_en_41583225.mp3,f276dc08396acba91e2d79a9842df03100ee1612b43cc631aa6db6216da22908,It has also been proposed as a possible explanation for claims associated with stigmata.,,Unknown,Unknown,en, It has also been proposed as a possible explanation for claims associated with stigmata.,0.0,0.0
b25f4659c07bf163476a79dcbd51dc9132e0cd0fef79ae100af6385b4fb95be6e5f262ac5846f75feaa44aa1dbcbacd3bfdbb1a4cb2d73658c955ea8de03986e,common_voice_en_41662681.mp3,f32e37ad895c140297c980c56da3d7f8d1371f016ef6d26e5f1c4bfb1f4261dc,He later attended the University of Maryland.,25.0,Unknown,Korean English,en, He later attended the University of Maryland.,0.0,0.0
b85c2ed40dd148508b30c1af6856a9e93b4fde6bf92a12856e0105f8f3c3d3cc5623b56528e177093105bd0d03960f7893356f013961d7a3697673e7b72734e6,common_voice_en_41486401.mp3,f20576799fe8d2657e110f0f8a568970af7a36e078d5f035bac24e626cd3b9ac,Cuttings are slow to strike roots.,45.0,Female,Middle Eastern English,en, Cuttings are slow to strike roots.,0.0,0.0
b87dd0680063cbd3dc57f5b9b20c14f020f511c3f18467d52e816db909dbe2be05b8ea36a4bca91179503817a1b093a9e6036abb514c6ad1aaf1ffa71b3d32ce,common_voice_en_41503529.mp3,f1c4725928c0980b1f3775fb3f02902f799df35b6b6abbb71b4e953fb803694b,The undergraduate program in theological studies provides an overall view of the Christian Mystery.,35.0,Male,Canadian English,en, The undergraduate program in Theological Studies provides an overall view of the Christian mystery.,0.21428571428571427,0.030303030303030304
be562bcc891e1fa7ee8a67c29b4689f69df3e959b7c70c2e854503100e18b68f9c1337eea1e1048b1c63217d38a8a9fdcc078fb31c429bfe52da99957cd1c547,common_voice_en_41678018.mp3,f3767b297d40abe24caf4df439192a41f4b33f693c143beeba6853f8a167ad42,Balangiga can be reached through public utility vans and buses from Tacloban City.,35.0,Unknown,United States English,en, Balanjiga can be reached through public utility vans and buses from Tacloban City.,0.07692307692307693,0.012195121951219513
c11c6a41ef7c65608d8cd94bb24cc22ec2047f9de5cc90fb7c61ec5d97716722d8fde61c268e6af364ade0eba84fdd8d4de82bbce05b1860b901908ceeab595d,common_voice_en_41548292.mp3,f25528d6ed17d0bcb7e83ec39c800e3fa2a9d6035c46c973b74a7fed9a2b6f62,The old comedy was awkward and poor in its versification.,,Unknown,UK English (Latin American influence),en, The old comedy was awkward and poor in its versification.,0.0,0.0
